"sep=,"
Card Type,Quantity,Card Name,Level,Type,Min Price (MARKET)
Trap,1,Counter Gate,,,0.12
Trap,1,Crush Card Virus,,,0.28
Trap,1,Dark Sacrifice,,,0.68
Trap,1,"Dragon's Rage",,,0.17
Trap,1,Final Attack Orders,,,0.17
Trap,1,Gift of The Mystical Elf,,,0.10
Trap,1,Induced Explosion,,,0.08
Trap,1,Interdimensional Matter Transporter,,,0.10
Trap,1,Krystal Avatar,,,0.14
Trap,1,Last Turn,,,1.17
Trap,1,Negate Attack,,,0.20
Trap,1,Pyramid of Light,,,2.52
Trap,1,Return from the Different Dimension,,,1.21
Trap,1,Ring of Destruction,,,0.73
Trap,1,Shadow Spell,,,0.14
Trap,1,Soul Demolition,,,0.13
Trap,1,Tyrant Wing,,,0.22
Trap,1,Virus Cannon,,,0.16
Extra Deck,1,Doom Virus Dragon,4,Dragon/ Effect/ Fusion,0.22
Extra Deck,1,Rabid Horseman,6,Beast/Warrior/ Fusion,0.13
Extra Deck,1,XY-Dragon Cannon,6,Machine/ Effect/ Fusion,0.82
Extra Deck,1,Twin-Headed Thunder Dragon,7,Thunder/ Fusion,1.31
Extra Deck,1,Blue-Eyes Tyrant Dragon,8,Dragon/ Effect/ Fusion,0.57
Extra Deck,1,Mirror Force Dragon,8,Dragon/ Effect/ Fusion,0.33
Extra Deck,1,Tyrant Burst Dragon,8,Dragon/ Effect/ Fusion,0.15
Extra Deck,1,XYZ-Dragon Cannon,8,Machine/ Effect/ Fusion,0.31
Extra Deck,1,Blue-Eyes Ultimate Dragon,12,Dragon/ Fusion,1.11
Extra Deck,1,Neo Blue-Eyes Ultimate Dragon,12,Dragon/ Effect/ Fusion,4.14
